food,mood,why_short,evidence_tags,category_tags,category_simple,reason_mood
Fried chicken (home-style or fast-food),happy,familiar comfort food that boosts enjoyment,protein,other,Main Meal,familiar comfort food that boosts enjoyment
Dark chocolate (tablea / 70–85%),happy,cocoa flavanols can give a small mood lift,cocoa,drink,Drink,cocoa flavanols can give a small mood lift
Mango (mangga),happy,higher fruit/veg intake is linked with better mood,"fiber,fruit",other,Fruit Snack,higher fruit/veg intake is linked with better mood
Banana (saba/latundan/lakatan),happy,"low‑GI, fiber‑rich carbs steady energy and irritability","fiber,fruit,low-GI",other,Fruit Snack,"low‑GI, fiber‑rich carbs steady energy and irritability"
Pineapple (pinya),happy,higher fruit/veg intake is linked with better mood,"fiber,fruit",other,Fruit Snack,higher fruit/veg intake is linked with better mood
Buko (fresh coconut),happy,higher fruit/veg intake is linked with better mood,"fiber,fruit",other,Dessert / Sweet Snack,higher fruit/veg intake is linked with better mood
Chicken inasal (grilled),happy,familiar comfort food that boosts enjoyment,protein,other,Main Meal,familiar comfort food that boosts enjoyment
Pandesal with peanut butter (moderate portion),happy,familiar comfort food that boosts enjoyment,,other,Snack,familiar comfort food that boosts enjoyment
Sinigang na bangus belly,happy,fish omega‑3s linked with better mood over time,"comfort,omega-3,protein",soup,Main Meal,fish omega‑3s linked with better mood over time
Champorado (moderate portion),happy,familiar comfort food that boosts enjoyment,,other,Other / Flexible,familiar comfort food that boosts enjoyment
Sardinas (canned sardines in oil/tomato),sad,fish omega‑3s linked with better mood over time,"omega-3,protein",other,Main Meal,fish omega‑3s linked with better mood over time
Galunggong (round scad) – grilled or paksiw,sad,fish omega‑3s linked with better mood over time,"omega-3,protein",other,Main Meal,fish omega‑3s linked with better mood over time
Bangus (milkfish) – grilled/steamed,sad,fish omega‑3s linked with better mood over time,"hydration,omega-3,protein,theanine/low-caf",drink,Main Meal,fish omega‑3s linked with better mood over time
Tuna (canned in water or olive oil),sad,fish omega‑3s linked with better mood over time,"omega-3,protein",other,Main Meal,fish omega‑3s linked with better mood over time
Pinakbet (vegetable stew),sad,higher fruit/veg intake is linked with better mood,"fiber,veg",other,Veggie Snack / Side,higher fruit/veg intake is linked with better mood
Ginisang ampalaya with egg,sad,higher fruit/veg intake is linked with better mood,"fiber,veg",other,Veggie Snack / Side,higher fruit/veg intake is linked with better mood
Laing (taro leaves in coconut milk),sad,hydrating and gentle—good when tense,hydration,drink,Main Meal,hydrating and gentle—good when tense
Kangkong (water spinach) garlic stir-fry,sad,higher fruit/veg intake is linked with better mood,"fiber,veg",other,Veggie Snack / Side,higher fruit/veg intake is linked with better mood
Talbos ng kamote salad,sad,"low‑GI, fiber‑rich carbs steady energy and irritability","fiber,low-GI,veg",other,Veggie Snack / Side,"low‑GI, fiber‑rich carbs steady energy and irritability"
Brown/red rice (swap for part of white rice),sad,"low‑GI, fiber‑rich carbs steady energy and irritability","fiber,low-GI",rice bowl,Main Meal,"low‑GI, fiber‑rich carbs steady energy and irritability"
Green tea / matcha (low sugar),stress,tea theanine can calm while keeping attention,"hydration,theanine/low-caf",drink,Drink,tea theanine can calm while keeping attention
Plain yogurt (unsweetened),stress,fermented/probiotic foods may ease stress and improve mood,probiotic,other,Other / Flexible,fermented/probiotic foods may ease stress and improve mood
Yakult / probiotic drink (moderate),stress,fermented/probiotic foods may ease stress and improve mood,probiotic,drink,Drink,fermented/probiotic foods may ease stress and improve mood
Kimchi (small side),stress,fermented/probiotic foods may ease stress and improve mood,probiotic,other,Other / Flexible,fermented/probiotic foods may ease stress and improve mood
Kefir (if available),stress,fermented/probiotic foods may ease stress and improve mood,probiotic,drink,Drink,fermented/probiotic foods may ease stress and improve mood
Oatmeal lugaw (oats with banana),stress,"low‑GI, fiber‑rich carbs steady energy and irritability","comfort,fiber,fruit,low-GI",soup,Main Meal,"low‑GI, fiber‑rich carbs steady energy and irritability"
Saging na saba (boiled/steamed),stress,"low‑GI, fiber‑rich carbs steady energy and irritability","fiber,hydration,low-GI,theanine/low-caf",drink,Drink,"low‑GI, fiber‑rich carbs steady energy and irritability"
Tinola (chicken-ginger soup with sayote),stress,higher fruit/veg intake is linked with better mood,"comfort,fiber,protein,veg",soup,Main Meal,higher fruit/veg intake is linked with better mood
"Tablea hot chocolate (unsweetened, light sweetener)",stress,cocoa flavanols can give a small mood lift,cocoa,drink,Drink,cocoa flavanols can give a small mood lift
Mixed fruit bowl (mango-papaya-banana),stress,higher fruit/veg intake is linked with better mood,"fiber,fruit",other,Fruit Snack,higher fruit/veg intake is linked with better mood
Kamote (boiled sweet potato),angry,"low‑GI, fiber‑rich carbs steady energy and irritability","fiber,low-GI",other,Other / Flexible,"low‑GI, fiber‑rich carbs steady energy and irritability"
Brown/red rice (half-and-half mix),angry,"low‑GI, fiber‑rich carbs steady energy and irritability","fiber,low-GI",rice bowl,Main Meal,"low‑GI, fiber‑rich carbs steady energy and irritability"
Monggo guisado (mung bean stew),angry,"low‑GI, fiber‑rich carbs steady energy and irritability","fiber,low-GI",other,Other / Flexible,"low‑GI, fiber‑rich carbs steady energy and irritability"
Malunggay leaves (add to soups),angry,higher fruit/veg intake is linked with better mood,"comfort,fiber,veg",soup,Soup / Main Meal,higher fruit/veg intake is linked with better mood
"Peanuts / mani (unsalted, small handful)",angry,steady‑energy foods to help with irritability,,other,Snack,steady‑energy foods to help with irritability
